구분,파일위치,파일명,상세기능설명
소스코드파일,/workspace/jayeondeule/pgvector/test/t,028_hnsw_sparsevec_build_recall.pl,pgvector 회귀 테스트를 자동 수행하는 Perl 테스트 드라이버(`028_hnsw_sparsevec_build_recall`)다.
소스코드파일,/workspace/jayeondeule/pgvector/test/t,029_hnsw_sparsevec_insert_recall.pl,pgvector 회귀 테스트를 자동 수행하는 Perl 테스트 드라이버(`029_hnsw_sparsevec_insert_recall`)다.
소스코드파일,/workspace/jayeondeule/pgvector/test/t,030_hnsw_sparsevec_vacuum_recall.pl,pgvector 회귀 테스트를 자동 수행하는 Perl 테스트 드라이버(`030_hnsw_sparsevec_vacuum_recall`)다.
소스코드파일,/workspace/jayeondeule/pgvector/test/t,031_hnsw_sparsevec_duplicates.pl,pgvector 회귀 테스트를 자동 수행하는 Perl 테스트 드라이버(`031_hnsw_sparsevec_duplicates`)다.
소스코드파일,/workspace/jayeondeule/pgvector/test/t,032_ivfflat_halfvec_build_recall.pl,pgvector 회귀 테스트를 자동 수행하는 Perl 테스트 드라이버(`032_ivfflat_halfvec_build_recall`)다.
소스코드파일,/workspace/jayeondeule/pgvector/test/t,033_comparison.pl,pgvector 회귀 테스트를 자동 수행하는 Perl 테스트 드라이버(`033_comparison`)다.
소스코드파일,/workspace/jayeondeule/pgvector/test/t,034_distance_functions.pl,pgvector 회귀 테스트를 자동 수행하는 Perl 테스트 드라이버(`034_distance_functions`)다.
소스코드파일,/workspace/jayeondeule/pgvector/test/t,035_ivfflat_bit_build_recall.pl,pgvector 회귀 테스트를 자동 수행하는 Perl 테스트 드라이버(`035_ivfflat_bit_build_recall`)다.
소스코드파일,/workspace/jayeondeule/pgvector/test/t,036_ivfflat_bit_centers.pl,pgvector 회귀 테스트를 자동 수행하는 Perl 테스트 드라이버(`036_ivfflat_bit_centers`)다.
소스코드파일,/workspace/jayeondeule/pgvector/test/t,037_inputs.pl,pgvector 회귀 테스트를 자동 수행하는 Perl 테스트 드라이버(`037_inputs`)다.
소스코드파일,/workspace/jayeondeule/pgvector/test/t,038_hnsw_sparsevec_vacuum_insert.pl,pgvector 회귀 테스트를 자동 수행하는 Perl 테스트 드라이버(`038_hnsw_sparsevec_vacuum_insert`)다.
소스코드파일,/workspace/jayeondeule/pgvector/test/t,039_hnsw_cost.pl,pgvector 회귀 테스트를 자동 수행하는 Perl 테스트 드라이버(`039_hnsw_cost`)다.
소스코드파일,/workspace/jayeondeule/pgvector/test/t,040_ivfflat_cost.pl,pgvector 회귀 테스트를 자동 수행하는 Perl 테스트 드라이버(`040_ivfflat_cost`)다.
소스코드파일,/workspace/jayeondeule/pgvector/test/t,041_ivfflat_iterative_scan.pl,pgvector 회귀 테스트를 자동 수행하는 Perl 테스트 드라이버(`041_ivfflat_iterative_scan`)다.
소스코드파일,/workspace/jayeondeule/pgvector/test/t,042_ivfflat_iterative_scan_recall.pl,pgvector 회귀 테스트를 자동 수행하는 Perl 테스트 드라이버(`042_ivfflat_iterative_scan_recall`)다.
소스코드파일,/workspace/jayeondeule/pgvector/test/t,043_hnsw_iterative_scan.pl,pgvector 회귀 테스트를 자동 수행하는 Perl 테스트 드라이버(`043_hnsw_iterative_scan`)다.
소스코드파일,/workspace/jayeondeule/pgvector/test/t,044_hnsw_iterative_scan_recall.pl,pgvector 회귀 테스트를 자동 수행하는 Perl 테스트 드라이버(`044_hnsw_iterative_scan_recall`)다.
소스코드파일,/workspace/jayeondeule/raspi/v1,config.py,v1 장비 제어에 필요한 핀맵/임계값/DB 설정 상수를 정의한다.
소스코드파일,/workspace/jayeondeule/raspi/v1,jayeondeule.py,라즈베리파이 v1 제어 흐름을 통합 실행하는 상위 오케스트레이션 스크립트다.
소스코드파일,/workspace/jayeondeule/raspi/v1,log_handler.py,v1 실행 로그 포맷팅과 파일/콘솔 출력 정책을 관리한다.
소스코드파일,/workspace/jayeondeule/raspi/v1,main.py,v1 런타임의 실행 진입점으로 모듈 초기화와 루프 시작을 담당한다.
소스코드파일,/workspace/jayeondeule/raspi/v1,test.py,v1 모듈 동작을 빠르게 점검하기 위한 수동 테스트 스크립트다.
소스코드파일,/workspace/jayeondeule/raspi/v1/gpio,gpio_config.py,GPIO 핀 초기화와 릴레이/액추에이터 on/off 제어를 담당하는 하드웨어 제어 모듈이다.
소스코드파일,/workspace/jayeondeule/raspi/v1/gpio,gpio_control.py,GPIO 핀 초기화와 릴레이/액추에이터 on/off 제어를 담당하는 하드웨어 제어 모듈이다.
소스코드파일,/workspace/jayeondeule/raspi/v1/sensor,__init__.py,센서 장치에서 값을 읽고 보정/검증해 상위 제어 로직에 전달하는 모듈이다.
소스코드파일,/workspace/jayeondeule/raspi/v1/sensor,sensor_config.py,센서 장치에서 값을 읽고 보정/검증해 상위 제어 로직에 전달하는 모듈이다.
소스코드파일,/workspace/jayeondeule/raspi/v1/sensor,sensor_control.py,센서 장치에서 값을 읽고 보정/검증해 상위 제어 로직에 전달하는 모듈이다.
소스코드파일,/workspace/jayeondeule/raspi/v1/sql,db_layout.py,데이터베이스 테이블/컬럼 구조를 정의해 저장 스키마를 일관되게 유지한다.
소스코드파일,/workspace/jayeondeule/raspi/v1/sql,sql_config.py,DB 접속정보 및 SQL 관련 설정값을 중앙 관리한다.
소스코드파일,/workspace/jayeondeule/raspi/v1/sql,sql_control.py,DB 연결 및 쿼리 실행 흐름을 관리해 데이터 입출력을 담당한다.
소스코드파일,/workspace/jayeondeule/raspi/v1/sql,sql_format.py,쿼리 파라미터/결과 포맷을 정규화해 데이터 처리 일관성을 높인다.
소스코드파일,/workspace/jayeondeule/raspi/v1/sql,sql_query.py,센서/제어 데이터 저장·조회용 SQL 문을 모아 재사용한다.
소스코드파일,/workspace/jayeondeule/raspi/v2,config.py,v2 장비 제어 파라미터와 시스템 설정값을 중앙 관리한다.
소스코드파일,/workspace/jayeondeule/raspi/v2,jayeondeule.py,라즈베리파이 v2 장비 제어/수집 루틴을 통합 실행하는 메인 스크립트다.
소스코드파일,/workspace/jayeondeule/raspi/v2,log_handler.py,v2 제어 프로세스의 로깅 레벨/핸들러 설정을 담당한다.
소스코드파일,/workspace/jayeondeule/raspi/v2/gpio,gpio_config.py,GPIO 핀 초기화와 릴레이/액추에이터 on/off 제어를 담당하는 하드웨어 제어 모듈이다.
소스코드파일,/workspace/jayeondeule/raspi/v2/gpio,gpio_control.py,GPIO 핀 초기화와 릴레이/액추에이터 on/off 제어를 담당하는 하드웨어 제어 모듈이다.
소스코드파일,/workspace/jayeondeule/raspi/v2/sensor,__init__.py,센서 장치에서 값을 읽고 보정/검증해 상위 제어 로직에 전달하는 모듈이다.
소스코드파일,/workspace/jayeondeule/raspi/v2/sensor,sensor_config.py,센서 장치에서 값을 읽고 보정/검증해 상위 제어 로직에 전달하는 모듈이다.
소스코드파일,/workspace/jayeondeule/raspi/v2/sensor,sensor_control.py,센서 장치에서 값을 읽고 보정/검증해 상위 제어 로직에 전달하는 모듈이다.
소스코드파일,/workspace/jayeondeule/raspi/v2/sql,db_layout.py,데이터베이스 테이블/컬럼 구조를 정의해 저장 스키마를 일관되게 유지한다.
소스코드파일,/workspace/jayeondeule/raspi/v2/sql,sql_config.py,DB 접속정보 및 SQL 관련 설정값을 중앙 관리한다.
소스코드파일,/workspace/jayeondeule/raspi/v2/sql,sql_control.py,DB 연결 및 쿼리 실행 흐름을 관리해 데이터 입출력을 담당한다.
소스코드파일,/workspace/jayeondeule/raspi/v2/sql,sql_format.py,쿼리 파라미터/결과 포맷을 정규화해 데이터 처리 일관성을 높인다.
소스코드파일,/workspace/jayeondeule/raspi/v2/sql,sql_query.py,센서/제어 데이터 저장·조회용 SQL 문을 모아 재사용한다.
소스코드파일,/workspace/jayeondeule/raspi/v3,config.py,v3 운영 정책에 맞춘 센서/릴레이/스케줄 설정값을 정의한다.
소스코드파일,/workspace/jayeondeule/raspi/v3,jayeondeule.py,라즈베리파이 v3 제어 정책을 반영한 장비 운영 메인 스크립트다.
소스코드파일,/workspace/jayeondeule/raspi/v3,log_handler.py,v3 운영 로그 수집과 오류 추적을 위한 로깅 유틸리티를 제공한다.
소스코드파일,/workspace/jayeondeule/raspi/v3,test.py,v3 장비 제어 및 수집 루틴을 점검하는 테스트 스크립트다.
소스코드파일,/workspace/jayeondeule/raspi/v3/gpio,gpio_config.py,GPIO 핀 초기화와 릴레이/액추에이터 on/off 제어를 담당하는 하드웨어 제어 모듈이다.
소스코드파일,/workspace/jayeondeule/raspi/v3/gpio,gpio_control.py,GPIO 핀 초기화와 릴레이/액추에이터 on/off 제어를 담당하는 하드웨어 제어 모듈이다.
소스코드파일,/workspace/jayeondeule/raspi/v3/sensor,__init__.py,센서 장치에서 값을 읽고 보정/검증해 상위 제어 로직에 전달하는 모듈이다.
소스코드파일,/workspace/jayeondeule/raspi/v3/sensor,sensor_config.py,센서 장치에서 값을 읽고 보정/검증해 상위 제어 로직에 전달하는 모듈이다.
소스코드파일,/workspace/jayeondeule/raspi/v3/sensor,sensor_control.py,센서 장치에서 값을 읽고 보정/검증해 상위 제어 로직에 전달하는 모듈이다.
소스코드파일,/workspace/jayeondeule/raspi/v3/sql,db_layout.py,데이터베이스 테이블/컬럼 구조를 정의해 저장 스키마를 일관되게 유지한다.
소스코드파일,/workspace/jayeondeule/raspi/v3/sql,sql_config.py,DB 접속정보 및 SQL 관련 설정값을 중앙 관리한다.
소스코드파일,/workspace/jayeondeule/raspi/v3/sql,sql_control.py,DB 연결 및 쿼리 실행 흐름을 관리해 데이터 입출력을 담당한다.
소스코드파일,/workspace/jayeondeule/raspi/v3/sql,sql_format.py,쿼리 파라미터/결과 포맷을 정규화해 데이터 처리 일관성을 높인다.
소스코드파일,/workspace/jayeondeule/raspi/v3/sql,sql_query.py,센서/제어 데이터 저장·조회용 SQL 문을 모아 재사용한다.
