구분,파일위치,파일명,상세 기능 설명
문서,/workspace/jayeondeule/docs/,readme.md,"프로젝트 개요 및 시작 가이드. 자연들에 스마트팜 AI 관리 시스템의 구조, 설치 방법, 실행 방법을 설명한다."
문서,/workspace/jayeondeule/docs/,agriStructure.md,"프로젝트 아키텍처 문서. 전체 시스템 구조, 모듈 간 관계, 데이터 흐름을 다이어그램과 함께 설명한다."
문서,/workspace/jayeondeule/docs/,systemAnalysis.md,"시스템 분석 문서. 현재 시스템의 상태, 성능 병목, 개선 필요 사항을 분석하여 정리한다."
문서,/workspace/jayeondeule/docs/,requirement.md,"요구사항 정의서. 스마트팜 AI 시스템의 기능적/비기능적 요구사항을 명세한다."
문서,/workspace/jayeondeule/docs/,serviceManagement.md,"서비스 관리 가이드. systemd 서비스 등록, 시작/중지, 로그 확인, 트러블슈팅 방법을 설명한다."
문서,/workspace/jayeondeule/docs/,reflexMigration.md,"Reflex 마이그레이션 문서. Streamlit에서 Reflex로의 UI 전환 과정, 변경 사항, 주의 점을 기록한다."
문서,/workspace/jayeondeule/docs/,mcpUpgrade.md,"MCP 업그레이드 가이드(영문). MCP 서버 패키지 업그레이드 절차와 설정 변경 사항을 안내한다."
문서,/workspace/jayeondeule/docs/,MCP 업그레이드.md,"MCP 업그레이드 가이드(한글). MCP 서버 업그레이드 시 주의사항과 설정 변경 내용을 한글로 설명한다."
문서,/workspace/jayeondeule/docs/,ChromaDB_학습_방향_분석.md,"ChromaDB 학습 방향 분석. 벡터 DB를 활용한 데이터 학습 전략, 컬렉션 구조, 임베딩 방법론을 분석한다."
문서,/workspace/jayeondeule/docs/,step1_dataToVectorDb.md,"데이터→벡터DB 저장 가이드. PostgreSQL 데이터를 ChromaDB에 임베딩하여 저장하는 Step 1 절차를 설명한다."
문서,/workspace/jayeondeule/docs/,조명관수_주기적실행_확장계획서.md,"조명/관수 자동제어 확장 계획서. 시간 기반 조명/관수밸브 자동 제어의 구현 방안과 확장 계획을 기술한다."
문서,/workspace/jayeondeule/docs/,raspi_v1_히터밸브_분석결과.md,"라즈베리 파이 v1 히터/밸브 분석 결과. v1 하드웨어의 히터와 밸브 릴레이 동작을 분석한 결과를 정리한다."
문서,/workspace/jayeondeule/docs/,수동모드_릴레이제어_분석.md,"수동 모드 릴레이 제어 분석. 수동/자동 모드에서의 릴레이 제어 로직과 상태 전환을 분석한다."
문서,/workspace/jayeondeule/docs/,모니터링및제어.md,"모니터링 및 제어 가이드. 센서 모니터링, 릴레이 제어, 알림 설정 등 운영 매뉴얼을 제공한다."
문서,/workspace/jayeondeule/setup/,consoleCommend.md,"콘솔 명령어 가이드. systemctl, journalctl, docker 등 자주 사용하는 시스템 관리 명령어를 정리한 치트시트이다."
문서,/workspace/jayeondeule/,RESTRUCTURING_PLAN.md,"프로젝트 리팩토링 계획서. 65개 파일을 42개로 줄이는 구조 개선 계획을 Phase 0-15로 나누어 상세히 기술한다."
문서,/workspace/jayeondeule/,RESTRUCTURING_SUMMARY.md,"리팩토링 완료 보고서. 파일 수 35% 감소, Import 경로 간소화, 순환 의존성 제거 등의 성과를 요약하고 마이그레이션 가이드를 제공한다."
문서,/workspace/jayeondeule/.github/ISSUE_TEMPLATE/,bug_report.md,"GitHub Issue 버그 리포트 템플릿. 버그 리포트 작성 시 최소 재현 코드, 실행 환경, 스택 트레이스 등을 포함하도록 안내한다."
